Day,Month,Year,Hour,Minute,Second,LON,LAT,DISTANCE_KM,SIGNAL,MULTIPLICITY,AXIS,ECCENTRICITY,ELLIPSE,CHISQR
2,7,2020,16,29,34.309862,-114.647,40.871,232.8327,-9.0,0,0,0,-127,0
2,7,2020,16,40,3.078142,-114.652,41.202,237.4609,-12.0,0,0,0,-124,0
2,7,2020,16,40,3.078142,-114.652,41.202,237.4609,-12.0,0,0,0,-124,0
2,7,2020,17,25,48.023336,-114.111,41.748,215.949,-5.0,0,1,9,-88,0
2,7,2020,17,25,48.023336,-114.111,41.748,215.949,-5.0,0,1,9,-88,0
2,7,2020,17,29,5.110094,-114.645,40.604,233.4574,-21.0,0,0,0,-115,0
2,7,2020,17,29,5.110094,-114.645,40.604,233.4574,-21.0,0,0,0,-115,0
2,7,2020,17,30,48.415683,-114.662,40.615,234.7839,-28.0,0,0,0,-127,1
2,7,2020,17,30,48.415683,-114.662,40.615,234.7839,-28.0,0,0,0,-127,1
2,7,2020,17,31,43.373524,-113.955,41.895,213.8208,-13.0,0,0,0,-91,1
2,7,2020,17,31,43.373524,-113.955,41.895,213.8208,-13.0,0,0,0,-91,1
2,7,2020,17,37,44.127308,-114.79,41.178,248.3674,-13.0,0,0,0,-125,0
2,7,2020,17,37,44.127308,-114.79,41.178,248.3674,-13.0,0,0,0,-125,0
2,7,2020,17,39,23.726917,-113.927,41.934,214.4935,-7.0,0,0,0,-85,0
2,7,2020,17,39,23.726917,-113.927,41.934,214.4935,-7.0,0,0,0,-85,0
2,7,2020,18,11,6.332508,-113.767,42.177,222.0211,-8.0,0,0,0,18,0
2,7,2020,18,11,6.332508,-113.767,42.177,222.0211,-8.0,0,0,0,18,0
2,7,2020,18,17,51.736847,-109.384,41.913,245.7711,-15.0,0,0,0,36,0
2,7,2020,18,17,51.736847,-109.384,41.913,245.7711,-15.0,0,0,0,36,0
2,7,2020,18,43,53.484285,-114.545,40.489,226.5661,-22.0,0,0,0,-124,0
2,7,2020,18,43,53.484285,-114.545,40.489,226.5661,-22.0,0,0,0,-124,0
2,7,2020,18,46,53.625597,-114.537,40.541,225.1104,-31.0,0,0,0,-118,0
2,7,2020,18,46,53.625597,-114.537,40.541,225.1104,-31.0,0,0,0,-118,0
2,7,2020,18,46,53.642168,-114.538,40.541,225.1945,-5.0,0,0,0,-112,0
2,7,2020,18,46,53.642168,-114.538,40.541,225.1945,-5.0,0,0,0,-112,0
2,7,2020,18,46,53.65733,-114.537,40.542,225.0968,-11.0,0,0,0,-116,0
2,7,2020,18,46,53.65733,-114.537,40.542,225.0968,-11.0,0,0,0,-116,0
2,7,2020,18,46,53.76557,-114.557,40.518,227.1193,-26.0,0,0,0,84,0
2,7,2020,18,46,53.76557,-114.557,40.518,227.1193,-26.0,0,0,0,84,0
2,7,2020,19,5,48.17637,-114.505,40.533,222.5327,-31.0,0,0,0,-118,0
2,7,2020,19,5,48.17637,-114.505,40.533,222.5327,-31.0,0,0,0,-118,0
2,7,2020,19,5,48.233299,-114.506,40.532,222.631,-23.0,0,0,0,-127,0
2,7,2020,19,5,48.233299,-114.506,40.532,222.631,-23.0,0,0,0,-127,0
2,7,2020,19,6,30.584672,-114.479,40.563,219.942,-25.0,0,0,0,-125,0
2,7,2020,19,6,30.584672,-114.479,40.563,219.942,-25.0,0,0,0,-125,0
2,7,2020,19,6,30.629913,-114.48,40.564,220.0135,-7.0,0,0,0,106,0
2,7,2020,19,6,30.629913,-114.48,40.564,220.0135,-7.0,0,0,0,106,0
2,7,2020,19,6,30.679952,-114.48,40.565,220.0008,-15.0,0,0,0,-112,0
2,7,2020,19,6,30.679952,-114.48,40.565,220.0008,-15.0,0,0,0,-112,0
2,7,2020,19,6,30.716792,-114.481,40.565,220.085,-4.0,0,0,0,-112,0
2,7,2020,19,6,30.716792,-114.481,40.565,220.085,-4.0,0,0,0,-112,0
2,7,2020,19,6,30.73568,-114.481,40.565,220.085,-4.0,0,0,0,-112,0
